"Warna","TDS","Kekeruhan","Suhu","E. Coli","Total Koliform","Fluorida","Total Kromium","Nitrit","Nitrat","Sianida","Aluminium","Besi","Kesadahan","Khlorida","Mangan","pH","Seng","Sulfat","Tembaga","Amonia","Zat Organik","Karbondioksida Bebas","Alkalinitas Total","Label"
"2","62","0.24","20","0","0","0.09","0","0.005","1.12","0.006","0.034","0.02","85.4","12.4","0.006","7.13","0.07","17","0.02","0.00","3.9","13.3","39.5","Layak Diminum"
"1","117","0.42","23","0","0","0","0.01","0.014","1.1","0.007","0.031","0.03","89.1","11","0.008","7.12","0.09","13","0.01","0.00","2.1","18.4","39.0","Layak Diminum"
"1","86.5","0.37","25","0","0","0.18","0.05","0.015","1.11","0.006","0.086","0.02","90.3","11.5","0.015","7.21","0.75","12","0.00","0.00","1.5","14.3","39.5","Layak Diminum"
"1","89.4","0.33","26","0","0","0","0.01","0.002","1.12","0.006","0.036","0.01","80.5","10.1","0.01","7.07","0.65","13","0.03","0.00","3.6","15.3","39.5","Layak Diminum"
"2","90.1","0.36","26","0","0","0","0.01","0.004","1.1","0.004","0.036","0.03","79.3","11","0.016","7.06","0.09","11","0.03","0.00","2.1","15.3","39.0","Layak Diminum"
"1","90.5","0.42","26","0","0","0.12","0","0.003","1.1","0.009","0.028","0.01","84.2","9.7","0.029","7.19","0.44","13","0.00","0.00","1.8","17.3","39.0","Layak Diminum"
"1","89.3","0.45","26","0","0","0","0.01","0.016","1.12","0.007","0.028","0.02","75.6","11.0","0.012","7.21","0.55","13","0.02","0.00","1.5","9.0","39.5","Layak Diminum"
"2","89.9","0.46","26","0","0","0.23","0.01","0.001","1.11","0.005","0.051","0.01","80.5","12","0.007","7.05","0.10","13","0.01","0.00","1.2","8.2","40.0","Layak Diminum"
"2","87.8","0.43","26","0","0","0.01","0.01","0.003","1.1","0.007","0.042","0.02","76.9","8.9","0.010","7.13","0.06","13","0.00","0.00","0.9","12.2","56.7","Layak Diminum"
"1","87.6","0.41","26","0","0","0","0.05","0.044","1.12","0.01","0.063","1.2","90.3","6.9","0.009","7.23","0","7","0.09","0.16","11.3","20.4","48.9","Tidak Layak Diminum"
"1","85.9","0.43","26","0","0","0.12","0","0.003","1.1","0.009","0.028","0.01","84.2","9.7","0.029","7.19","0.44","13","0.00","0.00","1.8","17.3","39.0","Layak Diminum"
"2","82.7","0.43","25","0","0","0.08","0.01","0.018","0.07","0.002","0.010","0.02","81.2","19.1","0.019","6.84","0.03","14","0.01","0.09","5.3","8.8","48.0","Layak Diminum"
"1","83.1","0.36","25","0","0","0.06","0.02","0.019","0.08","0.002","0.018","0.08","65.3","8.8","0.021","7.18","0.02","13","0.02","0.14","4.8","59.8","48.0","Layak Diminum"
"1","82.3","0.36","25","0","0","0.18","0.02","0.001","0.31","0.003","0.024","0.02","38.6","9.5","0.019","6.97","0.05","15","0.01","0.00","1.8","44.0","22.0","Layak Diminum"
"1","81.9","0.47","25","0","0","0","0.01","0.003","0.41","0.003","0.049","0.05","39.6","10.9","0.024","6.98","0.03","11","0","0.00","1.8","32.6","25.0","Layak Diminum"
"1","81.3","0.43","25","0","0","0.09","0.02","0.019","0.06","0.002","0.021","0.05","73.3","20.0","0.011","6.84","0.04","13","0.02","0.06","6.5","17.6","52.0","Layak Diminum"
"1","83.3","0.49","25","0","0","0.09","0.01","0.017","0.06","0.002","0.026","0.09","25.7","3.2","0.009","6.91","0.06","21","0.02","0.09","3.0","4.4","18.0","Layak Diminum"
"2","83.1","0.43","25","0","0","0.06","0.01","0.016","0.06","0.002","0.014","0.07","27.7","3.2","0.011","6.96","0.04","29","0.02","0.07","3.6","3.5","16.0","Layak Diminum"
"2","80.6","0.49","25","0","0","0.09","0.01","0.017","0.05","0.002","0.017","0.06","49.5","9.1","0.019","7.54","0.08","21","0.02","0.13","3.6","5.7","33.5","Layak Diminum"
"1","82.3","0.47","25","0","0","0.08","0.02","0.021","0.04","0.003","0.011","0.03","45.5","9.1","0.014","7.43","0.05","17","0.04","0.05","4.5","5.7","35.0","Layak Diminum"
"1","82.1","0.4","24","0","0","0.09","0.01","0.020","0.08","0.003","0.021","0.02","47.5","9.0","0.014","7.51","0.05","9","0.02","0.08","4.8","7.5","33.0","Layak Diminum"
"1","80.6","0.46","25","0","0","0.08","0.01","0.023","0.04","0.002","0.021","0.06","45.5","9.2","0.015","7.48","0.02","15","0.02","0.05","4.8","6.2","31.0","Layak Diminum"
"2","82.6","0.53","25","0","0","0.07","0.01","0.023","0.02","0.002","0.025","0.02","41.6","8.6","0.016","7.53","0.05","8","0.02","0.17","4.5","6.6","33.5","Layak Diminum"
"2","86.3","0.56","26","0","0","0.07","0.01","0.017","0.08","0.003","0.014","0.06","43.6","7.0","0.009","6.86","0.06","15","0.02","0.12","1.2","10.6","60.0","Layak Diminum"
"2","83.8","0.47","25","0","0","0.00","0.01","0.004","0.04","0.002","0.040","0.00","91.1","59.7","0.104","8.06","0.03","0","0.00","0.15","2.1","233.2","43.0","Tidak Layak Diminum"
"1","83.2","0.46","25","0","0","0.14","0.00","0.002","0.19","0.005","0.071","0.01","39.6","9.0","0.006","7.11","0.01","15","0.01","0.00","2.1","44.0","27.0","Layak Diminum"
"1","79.2","0.47","25","0","0","0.18","0.02","0.001","0.31","0.003","0.024","0.02","38.6","9.5","0.019","6.97","0.05","15","0.01","0.00","1.8","44.0","22.0","Layak Diminum"
"2","80.1","0.47","25","0","0","0.1","0.02","0.001","0.35","0.003","0.013","0.02","39.6","10.6","0.025","6.97","0.07","12","0.01","0.00","3.0","44.0","25.0","Layak Diminum"
"2","78.9","0.38","25","0","0","0.01","0.02","0.003","0.33","0.005","0.043","0.02","39.6","10.7","0.025","6.88","0.02","12","0.01","0.00","4.5","43.6","25.0","Layak Diminum"
"1","81.4","0.39","24","0","0","0.02","0.05","0.002","0.42","0.003","0.040","0.03","35.6","10.5","0.020","6.95","0.05","10","0.07","0.00","1.8","41.4","27.0","Layak Diminum"
"1","81.6","0.32","24","0","0","0.07","0.02","0.002","0.36","0.005","0.027","0.02","43.6","10.1","0.025","6.99","0.10","11","0.02","0.00","0.1","35.2","28.0","Layak Diminum"
"2","61","1.1","20","0","0","0.03","0.01","0.003","0.40","0.003","0.018","0.04","41.6","8.7","0.016","6.82","0.08","10","0.01","0.00","1.5","29.9","28.0","Layak Diminum"
"2","63","1.2","21","0","0","0","0.01","0.003","0.41","0.003","0.049","0.05","39.6","10.9","0.024","6.98","0.03","11","0","0.00","1.8","32.6","25.0","Layak Diminum"
"1","71","1.24","21","0","0","0.07","0.02","0.022","0.03","0.002","0.022","0.08","69.3","8.6","0.014","6.69","0.04","17","0.03","0.08","2.4","59.8","42.0","Layak Diminum"
"1","69","1.23","21","0","0","0.05","0.01","0.017","0.05","0.002","0.019","0.05","71.3","8.3","0.021","6.73","0.05","11","0.03","0.09","1.2","63.4","34.0","Layak Diminum"
"1","67","1.13","21","0","0","0.07","0.01","0.021","0.06","0.002","0.014","0.04","77.2","8.8","0.022","7.01","0.06","13","0.02","0.04","3.0","63.4","38.0","Layak Diminum"
"2","107","0.57","19","0","0","0.11","0.02","0.017","0.03","0.003","0.021","0.02","31.7","3.9","0.011","6.80","0.04","11","0.03","0.09","3.3","7.9","18.0","Layak Diminum"
"2","111","0.47","20","0","0","0.18","0.05","0.015","1.11","0.006","0.086","0.02","90.3","11.5","0.015","7.21","0.75","12","0.00","0.00","1.5","14.3","39.5","Layak Diminum"
"2","117","0.72","20","0","0","0","0.01","0.001","0.24","0.006","0","0.01","73.3","8.0","0.004","6.57","0.06","31","0.02","0.00","2.4","60.7","40.0","Layak Diminum"
"1","102","0.36","19","0","0","0.19","0.01","0.003","0.19","0.005","0","0","77.2","8.1","0.005","6.53","0.02","30","0.01","0.00","1.8","45.8","42.0","Layak Diminum"
"2","129","0.58","24","0","0","0.05","0.10","0.003","0.37","0.006","0","0.04","87.1","30.0","0.047","6.80","0.07","21","0.00","0.00","2.7","28.6","27.0","Tidak Layak Diminum"
"1","128","0.63","25","0","0","0","0.01","0.018","0.26","0.015","0.009","4.11","73.3","24.3","0.369","7.36","0","19","0.03","0.71","25.8","84.5","30.0","Tidak Layak Diminum"
"2","127","0.72","24","0","0","0.00","0.01","0.002","0.07","0.009","0.008","0.01","77.2","4.8","0.000","6.82","0.02","1","0.02","0.00","0.6","49.3","50.5","Layak Diminum"
"1","123","0.76","25","0","0","0.00","0.01","0.001","0.09","0.006","0.002","0.01","114.8","4.2","0.000","6.93","0.12","1","0.01","0.00","0.6","37","47.5","Layak Diminum"
"1","123","0.73","25","0","0","0.00","0","0.002","0.12","0.050","0.008","0.02","79.2","41.2","0.003","6.95","0.13","2","0.02","0.00","0.3","35.2","47.0","Layak Diminum"
"1","125","0.81","24","0","0","0.00","0.01","0.025","0.10","0.004","0.021","0.02","99.0","4.1","0.001","6.95","0.07","1","0.00","0.00","0.3","33.9","49.0","Layak Diminum"
"2","121","0.79","24","0","0","0","0.01","0.003","0.1","0.09","0.01","0.01","85.1","3.2","0","7.24","0.08","1","0.01","0","0.6","31.7","48","Tidak Layak Diminum"
"2","131","0.83","24","0","0","0.05","0","0.005","0.51","0.005","0.028","0.01","110.9","19.2","0.001","7.03","0.04","22","0.02","0.14","3","40.5","45.5","Layak Diminum"
"2","133","0.78","24","0","0","0.00","0.01","0.04","0.3","0.05","0.073","0.02","77.2","15.9","0.002","6.74","0.07","33","0.00","0.19","3.6","44","35.5","Layak Diminum"
"1","122","0.89","24","0","0","0.18","0.01","0.004","0.07","0.050","0.150","0.03","61.4","20.0","0.001","6.88","0.06","23","0.02","0.02","4.5","32.6","40.5","Layak Diminum"
"1","122","1.1","24","0","0","0.00","0.05","0.005","0.38","0.011","0.352","0.40","116.8","6.0","0.000","7.12","0.06","4","0.01","0.00","1.5","49.3","78.0","Tidak Layak Diminum"
"1","125","0.83","24","0","0","0.00","0.00","0.031","0.80","0.008","0.017","0.10","112.9","16.5","0.076","6.77","0.00","27","0.02","0.37","7.4","72.2","44.0","Layak Diminum"
"1","163","3.36","26","0","0","0.00","0.00","0.005","0.69","0.004","0.017","0.02","103.0","19.5","0.011","6.76","0.17","0","0.01","0.00","0.9","220.0","150.0","Tidak Layak Diminum"
"1","161","3.84","26","0","0","0.01","0.00","0.005","0.74","0.007","0.000","0.02","108.9","16.0","0.008","6.89","0.47","0","0.01","0.00","1.5","211.2","122.0","Tidak Layak Diminum"
"1","159","1.86","26","0","0","0.05","0.01","0.001","0.07","0.006","0.000","0.02","85.1","59.2","0.028","7.89","0.05","0","0.00","0.29","2.1","154.0","299.0","Tidak Layak Diminum"
"2","406","0.49","26","0","0","0.00","0.01","0.004","0.04","0.006","0.015","0.00","85.1","65.2","0.114","8.07","0.05","0","0.00","0.05","1.8","158.4","307.0","Tidak Layak Diminum"
"2","409","0.62","26","0","0","0.18","0","0.003","0.05","0.004","0.000","0.01","83.2","75.5","0.038","7.99","0.04","0","0.05","0.04","2.1","259.6","287.0","Tidak Layak Diminum"
"2","120","0.96","25","0","0","0.08","0","0.004","0.04","0.004","0.003","0.03","89.1","69","0.178","8.08","0.03","0","0.00","0.04","1.5","277.2","300.0","Tidak Layak Diminum"
"1","396","0.63","26","0","0","0","0","0.005","0.04","0.004","0.000","0.01","95.0","70.3","0.063","8.14","0.03","0","0.00","1.01","1.2","255.2","285.0","Tidak Layak Diminum"
"2","409","0.59","26","0","0","0.00","0.01","0.004","0.04","0.002","0.040","0.00","91.1","59.7","0.104","8.06","0.03","0","0.00","0.15","2.1","233.2","43.0","Tidak Layak Diminum"
"1","406","0.62","26","0","0","0.14","0.00","0.002","0.19","0.005","0.071","0.01","39.6","9.0","0.006","7.11","0.01","15","0.01","0.00","2.1","44.0","27.0","Layak Diminum"
"2","121","0.83","26","0","0","0.18","0.02","0.001","0.31","0.003","0.024","0.02","38.6","9.5","0.019","6.97","0.05","15","0.01","0.00","1.8","44.0","22.0","Layak Diminum"
"1","119","0.8","26","0","0","0.1","0.02","0.001","0.35","0.003","0.013","0.02","39.6","10.6","0.025","6.97","0.07","12","0.01","0.00","3.0","44.0","25.0","Layak Diminum"
"2","113","0.73","26","0","0","0.01","0.02","0.003","0.33","0.005","0.043","0.02","39.6","10.7","0.025","6.88","0.02","12","0.01","0.00","4.5","43.6","25.0","Layak Diminum"
"1","115","0.75","26","0","0","0.02","0.05","0.002","0.42","0.003","0.040","0.03","35.6","10.5","0.020","6.95","0.05","10","0.07","0.00","1.8","41.4","27.0","Layak Diminum"
"1","116","0.73","26","0","0","0.07","0.02","0.002","0.36","0.005","0.027","0.02","43.6","10.1","0.025","6.99","0.10","11","0.02","0.00","0.1","35.2","28.0","Layak Diminum"
"2","114","0.77","26","0","0","0.03","0.01","0.003","0.40","0.003","0.018","0.04","41.6","8.7","0.016","6.82","0.08","10","0.01","0.00","1.5","29.9","28.0","Layak Diminum"
"2","117","0.86","26","0","0","0","0.01","0.003","0.41","0.003","0.049","0.05","39.6","10.9","0.024","6.98","0.03","11","0","0.00","1.8","32.6","25.0","Layak Diminum"
"2","111","0.71","26","0","0","0.18","0.05","0.015","1.11","0.006","0.086","0.02","90.3","11.5","0.015","7.21","0.75","12","0.00","0.00","1.5","14.3","39.5","Layak Diminum"
"1","124","0.79","26","0","0","0.09","0.02","0.019","0.06","0.002","0.021","0.05","73.3","20.0","0.011","6.84","0.04","13","0.02","0.06","6.5","17.6","52.0","Layak Diminum"
"1","124","0.83","26","0","0","0.08","0.01","0.023","0.04","0.002","0.021","0.06","45.5","9.2","0.015","7.48","0.02","15","0.02","0.05","4.8","6.2","31.0","Layak Diminum"
"1","120","0.87","25","0","0","0.05","0.03","0.011","0.04","0.001","0.061","0.02","69.3","3","0.006","7.24","0.06","13","0.01","0.03","3.9","31.24","38","Layak Diminum"
"1","123","0.85","25","0","0","0.08","0.01","0.022","0.07","0.002","0.027","0.09","43.6","4.4","0.010","6.87","0.02","23","0.02","0.05","2.1","29.0","14.0","Layak Diminum"
"2","123","0.81","26","0","0","0.08","0.02","0.021","0.06","0.002","0.015","0.03","87.1","12.0","0.010","6.96","0.06","6","0.03","0.09","1.5","77.4","91.0","Layak Diminum"
"2","126","0.78","25","0","0","0.05","0","0.005","0.51","0.005","0.028","0.01","110.9","19.2","0.001","7.03","0.04","22","0.02","0.14","3.0","40.5","45.5","Layak Diminum"
"1","126","0.83","26","0","0","0.18","0.01","0.004","0.07","0.050","0.150","0.03","61.4","20.0","0.001","6.88","0.06","23","0.02","0.02","4.5","32.6","40.5","Layak Diminum"
"1","61.4","0.16","20","0","0","0.01","0.00","0.005","0.74","0.007","0.000","0.02","108.9","16.0","0.008","6.89","0.47","0","0.01","0.00","1.5","211.2","122.0","Tidak Layak Diminum"
"1","63.5","0.18","20","0","0","0.05","0.01","0.001","0.07","0.006","0.000","0.02","85.1","59.2","0.028","7.89","0.05","0","0.00","0.29","2.1","154.0","299.0","Tidak Layak Diminum"
"1","65.2","0.19","20","0","0","0.08","0","0.004","0.04","0.004","0.003","0.03","89.1","69","0.178","8.08","0.03","0","0.00","0.04","1.5","277.2","300.0","Tidak Layak Diminum"
"1","65","0.17","20","0","0","0.08","0.01","0.018","0.04","0.002","0.017","0.08","33.7","4.0","0.013","6.84","0.04","14","0.02","0.10","2.1","6.2","18.0","Layak Diminum"
"2","76.2","0.6","20","0","0","0.07","0.01","0.023","0.08","0.002","0.018","0.05","47.5","9.0","0.011","7.60","0.06","10","0.03","0.12","4.2","6.2","32.5","Layak Diminum"
"1","186","0.8","25","0","0","0.06","0.01","0.028","0.02","0.002","0.025","0.03","55.4","9.0","0.009","7.43","0.03","21","0.02","0.06","5.0","5.3","34.5","Layak Diminum"
"2","182","0.82","25","0","0","0.08","0.02","0.014","0.08","0.003","0.018","0.04","51.5","9.4","0.017","7.57","0.04","13","0.03","0.04","5.3","6.6","34.0","Layak Diminum"
"1","183","0.86","25","0","0","0.08","0.01","0.021","0.03","0.003","0.026","0.08","85.1","16.0","0.009","7.48","0.06","17","0.03","0.13","2.1","6.2","97.0","Layak Diminum"
"1","78","0.3","24","0","0","0.12","0.02","0.014","0.06","0.002","0.019","0.03","53.5","5.5","0.015","6.91","0.04","8","0.03","0.07","1.8","19.4","48.0","Layak Diminum"
"1","170","0.89","25","0","0","0.08","0.01","0.021","0.03","0.003","0.026","0.08","85.1","16.0","0.009","7.48","0.06","17","0.03","0.13","2.1","6.2","97.0","Layak Diminum"
"1","193","0.81","25","0","0","0.12","0.02","0.014","0.06","0.002","0.019","0.03","53.5","5.5","0.015","6.91","0.04","8","0.03","0.07","1.8","19.4","48.0","Layak Diminum"
"2","198","0.85","25","0","0","0.07","0.02","0.025","0.05","0.003","0.027","0.08","41.6","6.6","0.014","7.28","0.06","21","0.03","0.08","2.1","4.4","22.0","Layak Diminum"
"1","193","0.73","25","0","0","0.06","0.01","0.019","0.03","0.002","0.029","0.04","41.6","5.4","0.011","6.89","0.04","11","0.02","0.07","1.8","31.7","13.0","Layak Diminum"
"1","174","0.24","26","0","0","0.08","0.01","0.025","0.08","0.003","0.017","0.04","45.5","4.6","0.005","6.91","0.05","18","0.02","0.05","2.7","33.4","12.0","Layak Diminum"
"2","122","0.95","26","0","0","0.09","0.02","0.023","0.06","0.003","0.015","0.04","81.2","12.2","0.010","6.93","0.08","13","0.02","0.14","2.1","77.4","91.0","Layak Diminum"
"1","117","0.91","26","0","0","0.09","0.01","0.017","0.05","0.002","0.017","0.03","87.1","39.4","0.014","7.66","0.06","10","0.02","0.10","2.1","102.1","226.0","Tidak Layak Diminum"
"1","116","0.89","26","0","0","0.02","0.01","0.015","0.03","0.002","0.023","0.06","91.1","39.0","0.011","7.67","0.02","10","0.02","0.14","2.7","105.6","225.0","Tidak Layak Diminum"
"2","120","0.91","26","0","0","0.18","0.02","0.001","0.31","0.003","0.024","0.02","38.6","9.5","0.019","6.97","0.05","15","0.01","0.00","1.8","44.0","22.0","Layak Diminum"
"1","125","0.91","26","0","0","0.1","0.02","0.001","0.35","0.003","0.013","0.02","39.6","10.6","0.025","6.97","0.07","12","0.01","0.00","3.0","44.0","25.0","Layak Diminum"
"1","130","0.86","26","0","0","0.01","0.02","0.003","0.33","0.005","0.043","0.02","39.6","10.7","0.025","6.88","0.02","12","0.01","0.00","4.5","43.6","25.0","Layak Diminum"
"2","128","0.88","26","0","0","0.02","0.05","0.002","0.42","0.003","0.040","0.03","35.6","10.5","0.020","6.95","0.05","10","0.07","0.00","1.8","41.4","27.0","Layak Diminum"
"1","127","0.89","26","0","0","0.07","0.02","0.002","0.36","0.005","0.027","0.02","43.6","10.1","0.025","6.99","0.10","11","0.02","0.00","0.1","35.2","28.0","Layak Diminum"
"2","122","0.9","26","0","0","0.03","0.01","0.003","0.40","0.003","0.018","0.04","41.6","8.7","0.016","6.82","0.08","10","0.01","0.00","1.5","29.9","28.0","Layak Diminum"
"1","118","0.88","26","0","0","0","0.01","0.003","0.41","0.003","0.049","0.05","39.6","10.9","0.024","6.98","0.03","11","0","0.00","1.8","32.6","25.0","Layak Diminum"
"1","43.8","2.27","24","0","0","0.07","0.02","0.022","0.03","0.002","0.022","0.08","69.3","8.6","0.014","6.69","0.04","17","0.03","0.08","2.4","59.8","42.0","Layak Diminum"
"1","51.4","3.73","24","0","0","0.05","0.01","0.017","0.05","0.002","0.019","0.05","71.3","8.3","0.021","6.73","0.05","11","0.03","0.09","1.2","63.4","34.0","Layak Diminum"
"2","52","0.56","24","0","0","0.07","0.01","0.021","0.06","0.002","0.014","0.04","77.2","8.8","0.022","7.01","0.06","13","0.02","0.04","3.0","63.4","38.0","Layak Diminum"
"2","56","0.7","24","0","0","0.14","0.02","0.019","0.06","0.002","0.014","0.08","67.3","8.3","0.016","7.26","0.04","16","0.02","0.08","5.3","52.8","45.0","Layak Diminum"
"1","63","0.6","24","0","0","0.08","0.01","0.022","0.04","0.002","0.019","0.05","69.3","8.5","0.018","7.09","0.07","17","0.03","0.15","4.2","45.8","53.0","Layak Diminum"
"1","49.2","0.89","24","0","0","0.09","0.01","0.019","0.05","0.002","0.019","0.04","67.3","8.3","0.015","7.22","0.04","17","0.02","0.09","3.9","35.2","35.0","Layak Diminum"
"2","165","0.44","24","0","0","0.90","0.02","0.018","0.04","0.003","0.014","0.03","59.4","7.9","0.014","7.30","0.03","15","0.03","0.06","3.6","39.6","38.0","Layak Diminum"
"2","60","0.7","24","0","0","0.07","0.02","0.021","0.02","0.002","0.011","0.04","62.4","7.5","0.021","7.20","0.04","18","0.03","0.07","4.5","39.2","31.0","Layak Diminum"
"2","60","0.72","24","0","0","0.12","0","0.003","1.1","0.009","0.028","0.01","84.2","9.7","0.029","7.19","0.44","13","0.00","0.00","1.8","17.3","39.0","Layak Diminum"
"1","70","0.48","24","0","0","0.07","0.03","0.023","0.05","0.002","0.014","0.07","45.5","7.1","0.018","7.33","0.06","18","0.03","0.08","2.7","3.5","18.0","Layak Diminum"
"1","53","0.75","24","0","0","0.07","0.02","0.025","0.05","0.003","0.027","0.08","41.6","6.6","0.014","7.28","0.06","21","0.03","0.08","2.1","4.4","22.0","Layak Diminum"
"1","52","0.62","23","0","0","0.06","0.01","0.019","0.03","0.002","0.029","0.04","41.6","5.4","0.011","6.89","0.04","11","0.02","0.07","1.8","31.7","13.0","Layak Diminum"
"2","52","0.6","24","0","0","0.08","0.01","0.025","0.08","0.003","0.017","0.04","45.5","4.6","0.005","6.91","0.05","18","0.02","0.05","2.7","33.4","12.0","Layak Diminum"
"2","56","0.65","24","0","0","0.09","0.02","0.023","0.06","0.003","0.015","0.04","81.2","12.2","0.010","6.93","0.08","13","0.02","0.14","2.1","77.4","91.0","Layak Diminum"
"1","53","0.48","24","0","0","0","0.01","0.003","0.41","0.003","0.049","0.05","39.6","10.9","0.024","6.98","0.03","11","0","0.00","1.8","32.6","25.0","Layak Diminum"
"1","60","0.53","23","0","0","0.07","0.01","0.021","0.06","0.002","0.014","0.04","77.2","8.8","0.022","7.01","0.06","13","0.02","0.04","3.0","63.4","38.0","Layak Diminum"
"1","48","0.46","23","0","0","0.09","0.01","0.014","0.04","0.002","0.011","0.05","71.3","8.7","0.019","7.19","0.08","11","0.02","0.08","4.8","44.0","47.0","Layak Diminum"
"1","50","0.48","23","0","0","0.12","0","0.003","1.1","0.009","0.028","0.01","84.2","9.7","0.029","7.19","0.44","13","0.00","0.00","1.8","17.3","39.0","Layak Diminum"
"2","48","0.5","21","0","0","0","0.01","0.003","0.41","0.003","0.049","0.05","39.6","10.9","0.024","6.98","0.03","11","0","0.00","1.8","32.6","25.0","Layak Diminum"
"2","121","0.73","26","0","0","0","0.01","0.012","0.05","0.001","0.016","0.02","48.1","4.2","0.011","7.2","0.03","10","0.02","0.03","1.8","28.2","13","Layak Diminum"
"1","131","0.24","26","0","0","0.06","0.02","0.016","0.03","0.001","0.012","0.03","45.7","4","0.016","7.22","0.08","8","0.03","0.06","1.7","28.2","14","Tidak Layak Diminum"
"2","133","0.95","26","0","0","0.04","0.02","0.015","0.02","0.002","0.013","0.02","46.7","4.4","0.017","7.16","0.02","12","0.06","0.02","1.7","29","16","Layak Diminum"
"1","122","0.91","26","0","0","0.08","0.01","0.013","0.06","0.001","0.015","0.02","47.1","4.6","0.012","7.19","0.02","13","0.05","0.02","1.8","31.7","18","Layak Diminum"
"2","122","0.89","26","0","0","0.02","0.01","0.012","0.08","0.002","0.018","0.02","49.7","4.7","0.01","7.16","0.06","10","0.03","0.04","2","30.8","12","Layak Diminum"
"1","125","0.91","26","0","0","0.02","0.02","0.017","0.03","0.001","0.012","0.03","51.1","5.2","0.016","7.26","0.04","11","0.03","0.03","1.9","29","16","Layak Diminum"
"1","163","0.91","26","0","0","0.02","0.02","0.011","0.02","0.003","0.012","0.04","48.7","4.4","0.019","7.29","0.05","7","0.07","0.03","2","31.7","15","Layak Diminum"
"2","161","0.86","25","0","0","0.02","0.01","0.012","0.03","0.001","0.014","0.04","47.9","4","0.011","7.29","0.07","5","0.04","0.06","2","35.2","17","Layak Diminum"
"2","159","0.88","25","0","0","0.04","0.01","0.012","0.01","0.002","0.015","0.03","49.1","4.3","0.008","7.3","0.03","14","0.02","0.08","1.9","33.4","11","Layak Diminum"
"2","406","0.89","26","0","0","0","0.02","0.015","0.02","0.001","0.016","0.03","48.3","4.5","0.008","7.32","0.02","12","0.04","0.08","2","36.1","12","Layak Diminum"
"1","409","0.9","25","0","0","0.02","0.02","0.016","0.04","0.001","0.018","0.04","48.7","4.3","0.009","7.4","0.04","13","0.05","0.06","2.2","34.3","14","Layak Diminum"
"1","120","0.88","26","0","0","0.06","0.02","0.016","0.06","0.002","0.012","0.04","50.1","4.5","0.015","7.29","0.08","10","0.06","0.05","2.1","33.4","13","Layak Diminum"
"1","396","2.27","20","0","0","0.05","0.02","0.016","0.04","0.002","0.013","0.01","47.3","4.2","0.011","7.16","0.06","11","0.08","0.02","2.2","31.7","10","Layak Diminum"
"1","409","3.73","20","0","0","0.03","0.01","0.017","0.03","0.002","0.014","0.02","48.3","5","0.01","7.21","0.01","10","0.06","0.01","2.3","31.7","15","Layak Diminum"
"2","406","0.56","20","0","0","0.02","0.01","0.012","0.02","0.002","0.017","0.03","49.3","4.9","0.01","7.31","0.02","8","0.04","0.02","2.3","35.2","10","Layak Diminum"
"2","48","0.7","20","0","0","0.04","0.02","0.014","0.02","0.001","0.016","0.03","47.3","4.3","0.009","7.16","0.02","9","0.05","0.06","2.3","28.2","14","Layak Diminum"
"1","50","0.6","20","0","0","0.02","0.01","0.015","0.04","0.002","0.012","0.02","48.1","4","0.012","7.28","0.06","12","0.04","0.05","2.2","29.9","16","Layak Diminum"
"1","48","0.89","23","0","0","0.01","0.01","0.014","0.05","0.003","0.016","0.04","45.9","4.2","0.009","7.36","0.05","13","0.04","0.04","2.1","29.9","18","Layak Diminum"
"1","52","0.44","21","0","0","0.03","0.01","0.012","0.06","0.003","0.012","0.02","46.7","4.9","0.012","7.26","0.02","16","0.03","0.02","2","31.7","19","Layak Diminum"
"1","142","0.57","22","0","0","0.18","0.00","0.005","0.69","0.004","0.017","0.02","103.0","19.5","0.011","6.76","0.17","0","0.01","0.00","0.9","14.3","39","Layak Diminum"
"1","143","0.63","22","0","0","0.09","0.00","0.005","0.74","0.007","0.000","0.02","108.9","16.0","0.008","6.89","0.47","0","0.01","0.00","1.5","17.3","40.6","Layak Diminum"
"1","139","0.66","22","0","0","0.08","0.01","0.001","0.07","0.006","0.000","0.02","85.1","59.2","0.028","7.89","0.05","0","0.00","0.29","2.1","13.3","39.5","Layak Diminum"
"1","87.5","0.69","24","0","0","0.05","0.01","0.004","0.04","0.006","0.015","0.00","85.1","65.2","0.114","8.07","0.05","0","0.00","0.05","1.8","18.4","39","Layak Diminum"
"5","94.7","36.5","22","0","0","0.08","0","0.003","0.05","0.004","0.000","0.01","83.2","75.5","0.038","7.99","0.04","0","0.05","0.04","2.1","14.3","39.5","Layak Diminum"
"1","94.4","0.29","18","0","0","0.08","0","0.004","0.04","0.004","0.003","0.03","89.1","69","0.178","8.08","0.03","0","0.00","0.04","1.5","15.3","39.5","Layak Diminum"
"1","96.3","0.2","20","0","0","0.05","0","0.005","0.04","0.004","0.000","0.01","95.0","70.3","0.063","8.14","0.03","0","0.00","1.01","1.2","15.3","39","Layak Diminum"
"1","90.1","0.39","21","0","0","0.18","0.01","0.004","0.04","0.002","0.040","0.00","91.1","59.7","0.104","8.06","0.03","0","0.00","0.15","2.1","17.3","39","Layak Diminum"
"2","47.1","1.96","21","0","0","0.01","0.00","0.002","0.19","0.005","0.071","0.01","39.6","9.0","0.006","7.11","0.01","15","0.01","0.00","2.1","9","39.5","Layak Diminum"
