"Warna","TDS","Kekeruhan","Suhu","E. Coli","Total Koliform","Fluorida","Total Kromium","Nitrit","Nitrat","Sianida","Aluminium","Besi","Kesadahan","Khlorida","Mangan","pH","Seng","Sulfat","Tembaga","Amonia","Zat Organik","Karbondioksida Bebas","Alkalinitas Total","Label"
"1","95.7","0.78","23","0","0","0.08","0.02","0.006","0.04","0.002","0.034","0.02","22.0","8.1","0.007","7.04","0.03","9","0.02","0.02","2.4","75.7","22","Layak Diminum"
"1","99.8","0.86","23","0","0","0.02","0.02","0.007","0.07","0.001","0.048","0.01","30.0","7.9","0.003","7.07","0.03","9","0.02","0.03","1.5","73.9","30","Layak Diminum"
"1","92.7","0.90","23","0","0","0.06","0.01","0.006","0.05","0.001","0.039","0.02","40.0","15.0","0.003","7.42","0.05","14","0.05","0.04","6.5","70.4","40","Layak Diminum"
"1","97.3","0.88","23","0","0","0.06","0.02","0.013","0.08","0.000","0.024","0.02","50.0","6.0","0.004","6.71","0.00","24","0.00","0.00","1.5","15.8","50","Layak Diminum"
"2","94.4","0.87","23","0","0","0.05","0.02","0.014","0.07","0.000","0.016","0.03","62.0","5.5","0.004","6.83","0.01","21","0.01","0.00","1.8","15.8","62","Layak Diminum"
"3","96.3","0.81","23","0","0","0.04","0.02","0.009","0.04","0.000","0.016","0.07","57.0","7.0","0.004","6.80","0.00","16","0.01","0.01","1.8","17.6","57","Layak Diminum"
"2","95.6","0.89","22","0","0","0.02","0.02","0.007","0.04","0.001","0.025","0.02","53.0","8.0","0.005","6.83","0.01","15","0.00","0.00","2.4","19.4","53","Layak Diminum"
"1","97.3","0.60","22","0","0","0.02","0.02","0.009","0.07","0.001","0.024","0.05","51.0","6.0","0.009","6.91","0.00","21","0.01","0.00","2.1","18.5","51","Layak Diminum"
"1","83.6","0.60","23","0","0","0.03","0.01","0.007","0.08","0.005","0.038","0.02","64.0","14.0","0.004","8.07","0.02","8","0.03","0.01","6.5","17.6","64","Layak Diminum"
"1","86.4","0.64","24","0","0","0.03","0.01","0.009","0.14","0.005","0.027","0.02","49.0","14.2","0.008","8.06","0.02","20","0.01","0.02","5.9","19.4","49","Layak Diminum"
"1","88.7","0.71","23","0","0","0.03","0.02","0.008","0.16","0.002","0.018","0.02","48.0","13.4","0.007","8.00","0.03","28","0.03","0.02","5.3","18.5","48","Layak Diminum"
"1","84.2","0.69","23","0","0","0.02","0.02","0.004","0.14","0.000","0.025","0.03","60.0","19.0","0.011","7.96","0.02","20","0.05","0.03","3.6","26.4","60","Layak Diminum"
"1","86.3","0.70","23","0","0","0.05","0.01","0.008","0.11","0.005","0.031","0.02","15.0","13.0","0.013","7.78","0.06","18","0.02","0.01","3.6","17.6","15","Layak Diminum"
